fips,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"04001",0,0,628.8,762.8,100.4,128,1386.333,76.66667,144.3,26.8,84,99.91666,0,205.8667,1692.7,2201.033,54.83333,742.4,1170,5398.233
"04003",815.6,34.8,566.3333,2442.333,890.6667,468.3333,5074.167,636.1,547.6667,542.1667,304,1983.833,84.66666,1600,1467.067,3438.967,588.7,3644.333,843.2667,6308.833
"04005",92,118.5,668.9667,2923.567,2877.333,620.1667,6874.333,1784.367,483.6667,782.3334,759.8333,1202.267,105.3333,1713.667,3783.833,7018.833,2187.6,9909.833,1903,2773.667
"04007",23,196,109.5,941.1333,820.5,243.1667,1751.667,182.8333,147.6,187.8333,160.3333,29,0,294.8,1265.767,1715.667,340.3333,1268.167,372.1667,2082.833
"04009",131.5,0,35,291.7333,253.3333,72.8,1257.167,46.5,73,111.3333,93.33334,95.5,0,62,63.33333,807,22.96667,715,225.5,1065.5
"04011",37,0,43,375.6667,0,25.2,139.1667,26.96667,0,0,0,0,0,0,0,127.6667,0,0,0,153.5667
"04012",290.8,0,3,96,290.1667,109.5,1105.667,45.66667,47,54.33333,86.8,62.33333,0,62.5,0,27.83333,3.4,197.2,146.6,947
"04013",8054.5,1193.167,13998.33,133939.3,139028.8,77405.66,190241,59859.13,38898.83,98794.33,33564.17,82164.17,17677.33,164344.5,91984.33,139908,27855.5,133836.7,45034,78722.17
"04015",190.1667,100.8333,308,5655.833,3329.5,985.6667,8084.5,1124.833,849.1667,1099,638.5,1114.667,154,2019,2111.067,5284.667,676.5,4978,1605.333,3139.3
"04017",306,817.1667,102.8667,1598.333,828.3333,306.6667,3603.667,566.0333,579.3333,388.3333,259.6667,234.3333,98.8,442,2440.333,2779.167,305.6667,2594.833,1079.833,3533.333
"04019",645.6667,1485.167,2391.8,23342,30291.5,7652.333,40159,8152.333,7609.5,8660.667,6521.833,14813.67,2500.667,25394.5,3252.667,42654.33,7327.667,33248.5,11266.67,19014
"04021",2018.667,1031,447.8667,1756.233,2863.167,1031,5112.5,673.5,363.8333,544.3333,343.1667,0,0,2443.5,3769.833,3144.1,822.8333,2887.667,1100.5,7839.333
"04023",74,0,69,433,794,1560.5,2184.167,1018.367,82,151.5,199.5,123.8333,0,196,1142.5,435.4,123.5,1106,163,1906.5
"04025",307.5,1041.333,156.7667,5838.167,3334.167,1941.333,7294.5,1079.667,724.6667,1070.5,783,1348.667,47.66667,2575.833,3248,6757.833,1138.867,6456.833,1332.5,3540.433
"04027",6053.6,8.8,321.7,3717.5,2472.833,1736.5,6814.833,1131.167,976.8333,704,646.1667,874.4,124,2075,3085.5,5015.667,380.3333,4569.5,1129.333,4008.333
"04999",0,11,2.4,478.4,0,318.6,583,36.2,0,195.6,37.6,1128.6,112.6,902.4,0,0,19.4,50,0,4555.2
"05000",14779,3782.833,10103.67,52975.67,215927.5,45723.83,131220.7,61824.67,21816.13,35584.83,13113.5,32473.1,22579,51785.37,92985.67,148494,11570.33,79772.5,26252,47781
"05001",247.8333,0,45.8,301.6667,3203.833,501.3333,1128.833,532.3333,85.33334,274,57.16667,122,0,0,301.4,0,64.16667,447,158.5,394
"05003",0,0,16.8,747,3167.833,0,903.1667,300.8333,61.66667,272.5,48.66667,16.2,8.2,214.6667,414.8,0,13.2,384.8,187.3333,203.3333
"05005",0,0,91.2,573,2905.167,186.3333,2083.333,249.8333,286.6667,424.8333,161.5,299.3333,0,150.4,21.5,2881,97.16666,1336.667,401.5,341
"05007",508.8,58.6,288.1667,3767.033,14758,2578.5,6632.333,9609.5,889.7,2288,862.6667,2460.467,7610.6,3301.667,538.8333,4962.167,842.6333,4767.167,1565,1387.167
"05009",4.6,0,92,532.8,2477.667,773.6,1959.5,1474.5,434.8333,430,162.8333,204.6667,65.33334,267.5667,32.4,1003.8,104.5,1014.833,280,391.3333
"05011",372.1667,0,12.2,169,1008.5,137.5,325.6667,76.86667,13.4,139.6667,36.16667,27.33333,0,8.8,0,387.4,0,0,99.6,152.8333
"05013",25.2,4,0,89.16666,2241.167,0,0,134,0,0,0,0,0,0,0,74.83334,0,11.4,18.33333,77.66667
"05015",160.4,10,115.6667,329.9333,3396.333,93.5,1259.667,196.5,102.6667,258.5,67.83334,112.5,0,54.33333,9.8,158.8,345.4667,1323.5,121.5,346.6667
"05017",165.8,0,13.8,238.6667,626.5,146,476.8333,92.9,23.33333,131.1667,38.83333,34.66667,0,29.8,0,53.6,0,0,68,332.6667
"05019",0,0,36.2,129.8333,2670.667,0,1165.5,312.5,60.33333,295.1667,98.66666,240.1667,7.6,30.2,386.5,750,60,1004.333,225.5,299
"05021",212.3333,0,7.333333,168.1667,2071.667,299.5,494.8333,51,137.6667,124,35,18,0,14,0,436.3333,0,0,58.66667,243
"05023",0,0,68.66666,296.5,1817.667,159.6667,987.1667,324,55.66667,196.8333,54.16667,87.46667,9,101,529.5,0,76.83334,628.1667,140.8333,170
"05025",67.8,0,12.6,45.66667,84.16666,51,79,96,0,0,0,0,0,0,47.6,51.2,0,8.6,15.2,64.13333
"05027",87.83334,349.6667,31.83333,390,2820.5,271.3333,1064.833,300,88.16666,306.3333,106,52,0,150.8,84.6,742,38,598.6,247.6667,207.5
"05029",0,0,0,539.8333,1076.833,98.4,877.8333,353.8333,48.66667,137.1667,51.33333,132.8333,0,0,622.8,0,58.83333,398.1667,98,202.8333
"05031",103.2,9.4,44.6,1844,7682.667,1454.667,5380.833,670.9,692.6667,1032.5,464.6667,837.3333,174.3333,2004.5,400.6,6365.133,333.6667,3193.167,1097,942.6667
"05033",281.6667,170.8333,75.4,1272.833,3780.5,608.4,1812.333,3359.833,162.8,339.8333,129,255.5,0,41.2,1475.733,1027,45.66667,1191.333,217.8,327.3333
"05035",0,0,94.4,667.7,1678.167,662,2256,2288.333,95.16666,256.8333,221.3333,276.5,40.83333,355,124.3333,1644.167,385.6667,1450.833,632.5,776
"05037",207.6667,0,2.8,139.5,1107.667,257,703.5,149.1,58,204.3333,166.8333,70.33333,0,0,455.2,231.4,33.93333,323.1667,90.66666,199.5
"05039",238.3333,0,0,92.33334,909,26.83333,403.6667,72.06667,27.4,81.4,17.4,16,0,42.2,125,248.2,0,0,59,143
"05041",301.8333,0,24.6,266.1667,1139.333,203.8333,727.5,223.4333,36,144.8333,89.66666,51.5,0,20.8,9.4,86,30.66667,248.8333,78.33334,287.6667
"05043",312.5,0,15.4,142.6667,1404.833,265.5,949.1667,135.1333,97,207.1667,65.33334,15.4,6,203.6667,0,0,23.4,538,89.83334,274.5
"05045",13.4,29.6,166.8333,2508.667,5985.667,684,4419,694.3333,356.8333,911.6667,282.1667,3345.667,137.6667,1368.667,521.1667,3535.667,346.6667,3012.5,626.1667,750
"05047",53.8,78,270.6,137,1085.5,57.16667,511.8333,87.66667,50.66667,156.4,8.4,50.13333,0,2.4,4.6,101.4,0,0,56.83333,252.1667
"05049",0,0,0,0,154,69,201.8333,24.16667,22.8,72.83334,40.33333,19.2,4.5,4.2,0,0,0,0,8.6,126.8
"05051",250.8333,164.8333,61,2225.667,3752.667,1094.833,5393.667,423.2667,490,972.3333,507,884.3333,198.5,1339.6,2011.667,6460.333,1410.033,4412.667,978.3333,974.8333
"05053",118.2,21,13.2,222.1667,948.3333,122.5,411.8333,79.56667,29.6,82.66666,23.16667,56.8,0,9.4,0,0,8.8,201.8,33.2,172.7333
"05055",0,0,21,341,5368,448,1603.833,235.1333,111.6667,351.5,86.33334,0,0,824.6667,1060.8,1494.6,31.2,1029.2,177.1667,248.1667
"05057",235.1667,0,0,121.3333,3436.667,170.1667,904.3333,86.56667,65.5,195.6667,83,41.33333,0,262.8333,632,573.6,33.83333,556.6667,225.1667,341.5
"05059",103.5,110.6667,67.33334,331.3333,1960.667,87.16666,922.6667,306.8333,61.83333,231.1667,64,38.2,37.2,131,753.3333,0,31.33333,486.8333,288.6667,298.1667
"05061",290.5,0,30.6,69.33334,4588.833,101.2,653.5,251.6667,35.66667,126.8333,36.5,53.66667,0,64.66666,433.4,7.6,7.6,161.2,96.33334,224
"05063",95,42.6,37.4,504.1667,5282.5,101.8,1751.833,828.1667,165.3333,353.8333,77.5,31.8,8.8,649.1667,190.2,1711.4,28,1060,339.1667,329.6667
"05065",0,0,0,70.16666,527,5,369.5,104.8333,4,87.16666,63,0,0,61.16667,355.1667,398.6667,7,95.6,23.4,271.8333
"05067",0,0,59.6,189.6667,1004,230.6667,745,267.2667,42.8,127.6667,77.16666,87.5,0,41.8,0,807.6,36.16667,299.1667,123.4,474.5
"05069",264.1667,0,349.8333,1173.4,7859,1051.167,4245.333,662,248,929.1667,349,815.8334,37.33333,1330,1393,5006.167,177.3333,2004.667,883.5,2858.667
"05071",143.2,17,0,164.8333,3200.5,44.83333,970.5,44.83333,32,155.6667,59.33333,84.83334,5.2,21,609.8,0,3.4,211.8,91.16666,167.1667
"05073",117.8333,54.83333,0,70.33334,339,13.8,161.3333,40.66667,0,65.8,20,21.33333,0,0,146.2,196.6667,0,0,73,123.9667
"05075",82,56.6,28.2,109.5,966.8333,221.1667,644.8333,159.3333,28,113.1667,36.5,17.6,10.8,57.66667,92.4,152.2,0,0,72.2,246.3333
"05077",215.8333,0,0,12.4,98.8,23.83333,230,85.96667,0,54.5,23,27.16667,0,8.2,0,0,0,0,0,154.4333
"05079",0,0,0,76.16666,536.5,9.833333,210.8333,46.4,0,63.8,17.8,17,0,0,278,152.1667,0,0,40.83333,727.8667
"05081",0,0,21,276.3333,1493.667,38.5,364.6667,758.3334,13,99,27.33333,15.5,0,130.8333,0,129.6667,16.6,160,96.8,139.3333
"05083",15,64.4,22.5,128.5,1982.167,70.33334,761.8333,105.6667,43.16667,210.5,29.66667,55,2.8,5.4,0,1027.5,11.8,317,92.16666,311.1667
"05085",465,0,10.2,843,1462.5,401.5,1768.333,332.3333,124.5,387.1667,146.6667,247,7.6,29.2,1666.833,1288.8,94.16666,942.3333,172.8333,518.3333
"05087",0,0,23.6,85.33334,1067.667,24.6,396.1667,118.8333,36.16667,67.2,9.2,14,0,82.5,402.2,0,0,0,28.5,42.23333
"05089",0,0,0,52.2,1786.667,0,429,100.5,0,118.3333,75.16666,32.16667,0,21.33333,67.4,0,37.83333,247.6,0,140.3333
"05091",123.4,17.4,0,887.8333,2752.833,0,1553.333,746.8334,90.83334,312.1667,113.8333,1.5,0,728.3333,1022,530.4,142,1258.5,523.8333,624.5
"05093",731,0,103.5,619.1667,5374.167,601.8333,2009.5,555.8333,1001.8,420,236.5,136.8333,86.66666,903.3333,1919.333,1729.733,49.5,1064,272.1667,798.5
"05095",158.5,0,0,48.66667,217.8333,208.5,384.3333,172.3333,42.16667,101.8333,24.16667,5.8,0,1.8,283.2,205.4,3.6,269.6,84.83334,185.3333
