"county","violent","property"
"51590",127.5,182.611111111111
"51620",20.5138888888889,29.6527777777778
"51640",15.7916666666667,24.3055555555556
"51650",178.638888888889,484.375
"51660",38.4166666666667,105.555555555556
"51680",178.958333333333,209.013888888889
"51685",14.2222222222222,23.2083333333333
"51700",480.777777777778,728.680555555556
"51710",385.388888888889,1198.48611111111
"51735",4.80555555555556,11.9583333333333
"51740",297.527777777778,488.958333333333
"51810",555.291666666667,1274.44444444444
"51820",38.9583333333333,57.8472222222222
"53001",23.7361111111111,66.3333333333333
"53003",24.8888888888889,66.0416666666667
"53005",153.555555555556,451.041666666667
"53007",77.8333333333333,258.458333333333
"53009",64,173.263888888889
"53011",313.319444444444,1188.95833333333
"53013",4.04166666666667,15.3333333333333
"53015",134.472222222222,483.513888888889
"53017",25.4722222222222,102.333333333333
"53019",4.26388888888889,4.98611111111111
"53021",63.8611111111111,161.902777777778
"53023",2.23611111111111,6.61111111111111
"53025",111.180555555556,316.236111111111
"53027",93.3888888888889,298.333333333333
"53029",28.8055555555556,64.9583333333333
"53031",22.7638888888889,71.3194444444444
"53033",1517.58333333333,8157.25
"53035",284.333333333333,653.513888888889
"53037",37.8888888888889,170.986111111111
"53039",16.1527777777778,40.7916666666667
"53041",103.513888888889,256.902777777778
"53043",6.83333333333333,16.875
"53045",60.2083333333333,243.319444444444
"53047",39.3611111111111,83.5972222222222
"53049",25.8333333333333,64.8888888888889
"53051",17.0694444444444,37.4861111111111
"53053",948.888888888889,2929.51388888889
"53055",6.01388888888889,19.5694444444444
"53057",149.902777777778,581.125
"53059",15.4027777777778,26.3888888888889
"53061",508.527777777778,1865.84722222222
"53063",521.861111111111,1822.69444444444
"53065",34.1388888888889,90.4722222222222
"53067",203.486111111111,679.180555555556
"53069",2.84722222222222,4.875
"53071",68.3611111111111,182.736111111111
"53073",152.638888888889,692.930555555556
